hospital_group,site_name,specialty,role_type,doctor_name_en,doctor_name_zh,title_or_affiliation,practice_locations,department_opening_hours,appointment_contact,notes,source_url,last_verified
Gleneagles Hospital Hong Kong,Gleneagles Hospital Hong Kong,Clinical Haematology & Haematological Oncology,Honorary Consultant / Co-Director,Professor LEUNG Yu Hung Anskar,梁如鴻 教授,Co-Director of Haematology and Haematological Oncology Centre; Chair Professor HKU,Haematology & Oncology Clinic (Wong Chuk Hang),Mon-Fri 08:00-18:00; Sat 08:00-13:00; Sun/PH closed,+852 3153 9000 / WhatsApp +852 6452 3581,Also listed at HKSH Happy Valley,https://gleneagles.hk/facilities-services/explore-facilities-and-services/specialist-outpatient-clinics/haematology-oncology-clinic,2026-08-27
Gleneagles Hospital Hong Kong,Gleneagles Hospital Hong Kong,Clinical Haematology & Haematological Oncology,Honorary Consultant,Professor LIE Kwok Wai Albert,李國維 教授,Honorary Consultant in Haematology & Haematological Oncology; Honorary Clinical Professor HKU,Haematology & Oncology Clinic (Wong Chuk Hang),Mon-Fri 08:00-18:00; Sat 08:00-13:00; Sun/PH closed,+852 3153 9000 / WhatsApp +852 6452 3581,,https://gleneagles.hk/medical-specialties/haematology-haematological-oncology,2026-08-27
Gleneagles Hospital Hong Kong,Gleneagles Hospital Hong Kong,Clinical Haematology & Haematological Oncology,Honorary Consultant / Co-Director,Dr LIU Sung Yu Herman,廖崇瑜 醫生,Co-Director of Haematology and Haematological Oncology Centre; Honorary Consultant,Haematology & Oncology Clinic (Wong Chuk Hang),Mon-Fri 08:00-18:00; Sat 08:00-13:00; Sun/PH closed,+852 3153 9000 / WhatsApp +852 6452 3581,Also Honorary Consultant at Matilda International Hospital,https://gleneagles.hk/medical-specialties/haematology-haematological-oncology,2026-08-27
Gleneagles Hospital Hong Kong,Gleneagles Hospital Hong Kong,Clinical Haematology & Haematological Oncology,Honorary Consultant,Dr MA Shing Yan,馬承恩 醫生,Honorary Consultant in Haematology & Haematological Oncology,Haematology & Oncology Clinic (Wong Chuk Hang),Mon-Fri 08:00-18:00; Sat 08:00-13:00; Sun/PH closed,+852 3153 9000 / WhatsApp +852 6452 3581,Also practices at Adventist network (Stubbs Road / AMC),https://gleneagles.hk/medical-specialties/haematology-haematological-oncology,2026-08-27
Gleneagles Hospital Hong Kong,Gleneagles Hospital Hong Kong,Clinical Haematology & Haematological Oncology,Clinical Associate Professor,Dr SINGH Gill Harinder Harry,喬夏利 醫生,Clinical Associate Professor HKU Department of Medicine,Haematology & Oncology Clinic (Wong Chuk Hang),Mon-Fri 08:00-18:00; Sat 08:00-13:00; Sun/PH closed,+852 3153 9000 / WhatsApp +852 6452 3581,,https://gleneagles.hk/medical-specialties/haematology-haematological-oncology,2026-08-27
Gleneagles Hospital Hong Kong,Gleneagles Hospital Hong Kong,Clinical Haematology & Haematological Oncology,Clinical Professor,Professor TSE Wai Choi Eric,謝偉財 教授,Clinical Professor HKU Department of Medicine,Haematology & Oncology Clinic (Wong Chuk Hang),Mon-Fri 08:00-18:00; Sat 08:00-13:00; Sun/PH closed,+852 3153 9000 / WhatsApp +852 6452 3581,,https://gleneagles.hk/medical-specialties/haematology-haematological-oncology,2026-08-27
Hong Kong Sanatorium & Hospital,Hong Kong Sanatorium & Hospital,Clinical Haematology & Haematological Oncology,Honorary Consultant / Director,Dr LIANG Hin Suen Raymond,梁憲孫 醫生,Director Haematology and Cellular Therapy Centre; Head Department of Medicine,Happy Valley (3/F Li Shu Fan Block); Island East (11/F HKSH Eastern Building),Happy Valley: Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed | Island East: Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,+852 2835 8877 (HV) / +852 2917 1200 (Island East),,https://hksh-healthcare.com/en/our-doctors/haematology-and-cellular-therapy-centre.php,2026-08-27
Hong Kong Sanatorium & Hospital,Hong Kong Sanatorium & Hospital,Clinical Haematology & Haematological Oncology,Honorary Consultant,Dr CHIM Chor Sang James,詹楚生 醫生,Honorary Consultant in Haematology; Honorary Clinical Professor HKU,Happy Valley; Island East,Happy Valley: Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed | Island East: Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,+852 2835 8877 (HV) / +852 2917 1200 (Island East),,https://hksh-healthcare.com/en/our-doctors/haematology-and-cellular-therapy-centre.php,2026-08-27
Hong Kong Sanatorium & Hospital,Hong Kong Sanatorium & Hospital,Clinical Haematology & Haematological Oncology,Honorary Consultant,Professor LEUNG Yu Hung Anskar,梁如鴻 教授,Honorary Consultant in Haematology; Chair Professor HKU,Happy Valley,Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,+852 2835 8877,Also Co-Director at Gleneagles HK,https://mobile.hksh.com/en/taxonomy/term/1186/all,2026-08-27
Hong Kong Sanatorium & Hospital,HKSH Eastern Medical Centre (Island East),Paediatric Haematology & Oncology,Director / Honorary Consultant,Dr CHAN Chi Fung Godfrey,陳志峯 醫生,Director Paediatric Haematology & Oncology; Honorary Clinical Professor HKU,Island East (11/F HKSH Eastern Building),Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,+852 2917 1200,,https://hksh-healthcare.com/en/our-doctors/paediatric-haematology-and-oncology-centre.php,2026-08-27
Hong Kong Sanatorium & Hospital,Hong Kong Sanatorium & Hospital,Paediatric Haematology & Oncology,Honorary Consultant,Dr LEE Chi Wai Anselm,李志偉 醫生,Honorary Consultant in Paediatric Haematology & Oncology,Happy Valley; Island East,Happy Valley: Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed | Island East: Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,+852 2835 8877 (HV) / +852 2917 1200 (Island East),,https://mobile.hksh.com/en/doctors/alphabetically/ALL,2026-08-27
Hong Kong Sanatorium & Hospital,Hong Kong Sanatorium & Hospital,Laboratory / Pathology Haematology,Honorary Consultant (Pathology),Dr CHOI Wai Lap William,蔡偉立 醫生,Honorary Consultant in Haematology (Pathology); Honorary Clinical Associate Professor HKU,Happy Valley – Department of Pathology,Contact department for specimen hours,+852 2835 8790,Pathology/lab haematology not clinical outpatient clinic,https://mobile.hksh.com/en/doctors/alphabetically/ALL,2026-08-27
Hong Kong Sanatorium & Hospital,Hong Kong Sanatorium & Hospital,Laboratory / Pathology Haematology,Honorary Consultant (Pathology),Dr MA Shiu Kwan Edmond,馬紹鈞 醫生,Director Clinical Pathology & Molecular Pathology; Honorary Consultant in Haematology (Pathology),Happy Valley – Department of Pathology,Contact department for specimen hours,+852 2835 8790,Pathology/lab haematology not clinical outpatient clinic,https://mobile.hksh.com/en/doctors/alphabetically/ALL,2026-08-27
Union Hospital,Union Hospital (Tai Wai) / Union Oncology Centre,Clinical Haematology & Haematological Oncology,Consultant,Dr Chan Man Hong,陳敏航 醫生,Consultant in Haematology & Haematological Oncology,Union Hospital Specialty Clinic (Tai Wai 2/F); Union Oncology Centre H Zentre TST,Tai Wai: Mon-Sat 09:00-18:00; Sun/PH closed | H Zentre TST: Mon-Fri 09:00-18:00; Sat 09:00-13:00; Sun/PH closed,+852 2608 3315 (Tai Wai) / +852 2159 6100 (TST),,https://www.union.org/en/doctors/dr-chan-man-hong,2026-08-27
