hospital_group,licensed_private_hospital,site_name,service_type,department_or_centre,floor_location,address_en,district,telephone,fax,email,whatsapp,department_opening_hours,opening_hours_notes,notes,source_url,last_verified
Gleneagles Hospital Hong Kong,Yes,Gleneagles Hospital Hong Kong,Clinical Haematology & Haematological Oncology,Haematology & Oncology Clinic,"Clinic R, 1/F, Tower A","1 Nam Fung Path, Wong Chuk Hang, Hong Kong",Southern,+852 3153 9000,,,+852 6452 3581,Mon-Fri 08:00-18:00; Sat 08:00-13:00; Sun/PH closed,Reception/clinic counter hours; haematology consultations by appointment within these hours,Includes haematology nurse-led clinic; CAR-T and HSCT coordination,https://gleneagles.hk/facilities-services/explore-facilities-and-services/specialist-outpatient-clinics/haematology-oncology-clinic,2026-08-27
Hong Kong Sanatorium & Hospital,Yes,Hong Kong Sanatorium & Hospital,Clinical Haematology & Haematological Oncology,Haematology and Cellular Therapy Centre,"3/F, Li Shu Fan Block","2 Village Road, Happy Valley, Hong Kong",Wan Chai,+852 2835 8877,+852 2892 7520,oncology@hksh-hospital.com,+852 2835 8877,Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,Consultation by appointment only,Adult haematology and cellular therapy; part of Comprehensive Oncology Centre network,https://www.hksh-hospital.com/en/hospital-directory,2026-08-27
Hong Kong Sanatorium & Hospital,Yes,Hong Kong Sanatorium & Hospital,Paediatric Haematology & Oncology,Comprehensive Oncology Centre (shared contact),"3/F, Li Shu Fan Block","2 Village Road, Happy Valley, Hong Kong",Wan Chai,+852 2835 8877,+852 2892 7520,oncology@hksh-hospital.com,+852 2835 8877,Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,Same centre hours as adult haematology at Happy Valley,Oncology centre contact also used for paediatric haematology referrals at main campus,https://www.hksh-hospital.com/en/hospital-directory,2026-08-27
HKSH Eastern Medical Centre,Yes,HKSH Eastern Medical Centre (Island East),Clinical Haematology & Haematological Oncology,Haematology and Cellular Therapy Centre (Island East),"11/F, HKSH Eastern Building","3 Tung Wong Road, Shau Kei Wan, Hong Kong",Eastern,+852 2917 1200,+852 2892 7599,oncology@hksh-emc.com,+852 2917 1200,Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,Consultation by appointment only,Licensed private hospital site; CAR-T indicated for selected indications,https://www.hksh-emc.com/en/our-services/haematology.php,2026-08-27
HKSH Eastern Medical Centre,Yes,HKSH Eastern Medical Centre (Island East),Paediatric Haematology & Oncology,Paediatric Haematology & Oncology Centre (Island East),"11/F, HKSH Eastern Building","3 Tung Wong Road, Shau Kei Wan, Hong Kong",Eastern,+852 2917 1200,+852 2892 7599,oncology@hksh-emc.com,+852 2917 1200,Mon-Fri 09:00-17:00; Sat 09:00-13:00; Sun/PH closed,Same building and hours as adult haematology centre at Island East,Paediatric blood diseases; HSCT; shared contact with adult haematology centre,https://hksh-healthcare.com/en/clinical-services/paediatric-haematology-and-oncology-centre.php,2026-08-27
Union Hospital,Yes,Union Hospital (Tai Wai),Clinical Haematology & Haematological Oncology,Union Hospital Specialty Clinic,"2/F, Medical Centre","18 Fu Kin Street, Tai Wai, New Territories",Sha Tin,+852 2608 3315,+852 2608 3383,,,Mon-Sat 09:00-18:00; Sun/PH closed,Haematology consultations by appointment within clinic hours,In-hospital haematology consultation; hospital main line +852 2608 3388,https://www.union.org/en/service-overview/specialty/oncology,2026-08-27
Union Hospital,Yes,Union Oncology Centre (H Zentre),Clinical Haematology & Haematological Oncology,Union Oncology Centre (Consultation),"Unit 201-205, H Zentre","15 Middle Road, Tsim Sha Tsui, Kowloon",Yau Tsim Mong,+852 2159 6100,,,+852 2159 6199,Mon-Fri 09:00-18:00; Sat 09:00-13:00; Sun/PH closed,Medical therapy (Unit 206-207) and radiotherapy (B1) follow same centre hours,Satellite oncology/haematology consultation site,https://www.union.org/en/service-overview/specialty/oncology,2026-08-27
Union Hospital,Yes,Union Hospital Polyclinic (Tsim Sha Tsui),Clinical Haematology & Haematological Oncology,Union Hospital Polyclinic (Haematology),"Unit 1802, 18/F, Mira Place Tower A","132 Nathan Road, Tsim Sha Tsui, Kowloon",Yau Tsim Mong,+852 2375 3323,,tst@union.org,,Mon-Fri 09:00-18:30; Sat 09:00-15:00; Sun/PH closed,Dr Chan Cheuk Hung holds sessions here; book via polyclinic or hospital hotline,Haematology listed as polyclinic specialty; alternate site to Tai Wai / H Zentre,https://www.union.org/tst/polyclinics/en/,2026-08-27
Hong Kong Adventist Hospital – Stubbs Road,Yes,Hong Kong Adventist Hospital – Stubbs Road,Clinical Haematology & Haematological Oncology,Oncology Clinic,1/F,"40 Stubbs Road, Hong Kong",Central & Western,+852 3651 8808,,,+852 3651 8833,Mon-Fri 09:00-17:30; Sat/Sun/hospital holiday closed,Oncology clinic reception hours; haematology by appointment,"Hospital main enquiries +852 3651 8888; initial consult fee HK$1,500 (reference)",https://www.hkah.org.hk/en/specialist-clinics/oncology-clinic/contact,2026-08-27
Hong Kong Adventist Hospital – Tsuen Wan,Yes,Hong Kong Adventist Hospital – Tsuen Wan,Clinical Haematology & Haematological Oncology,Outpatient / Specialist booking (hospital-wide),,"199 Tsuen King Circuit, Tsuen Wan, N.T.",Tsuen Wan,+852 2275 6888,+852 2275 6767,,+852 2275 6888,Sun-Fri 08:00-17:00; Sat closed; PH closed,Hospital service hours; specialist haematology by appointment,Haematology & Haematological Oncology listed; Dr Chan Chee Wun Joyce; book via hospital line,https://www.twah.org.hk/en/contact-us,2026-08-27
Adventist Health (network),No,Adventist Medical Center – Causeway Bay,Clinical Haematology & Haematological Oncology,Haematology & Haematological Oncology clinic,"Room 2601, 26/F, Lee Garden Two","28 Yun Ping Road, Causeway Bay, Hong Kong",Wan Chai,+852 2782 2202,,info@adventistmedical.hk,+852 6119 1217,Mon-Thu 09:00-18:00; Fri 09:00-17:30; Sat/Sun/PH closed,Centre opening hours; consultations by appointment,Not a licensed private hospital; Adventist network outpatient centre,https://adventistmedical.hk/en/contact-us,2026-08-27
