hospital_group,licensed_private_hospital,site_name,hospital_campus_address_en,district,inpatient_pharmacy_department,inpatient_pharmacy_floor_location,inpatient_pharmacy_address_en,telephone,fax,email,pharmacy_hours,notes,source_url,last_verified
Gleneagles Hospital Hong Kong,Yes,Gleneagles Hospital Hong Kong,"1 Nam Fung Path, Wong Chuk Hang, Hong Kong",Southern,Pharmacy Department / Gleneagles Dispensary,"G/F, Tower A (left side of Front Desk)","G/F, Tower A, Gleneagles Hospital Hong Kong, 1 Nam Fung Path, Wong Chuk Hang, Hong Kong",+852 3153 9750,,dispensary@gleneagles.hk,Dispensary counter Mon-Fri 09:00-17:30 (public holidays closed); hospital pharmacy provides 24-hour inpatient services,Inpatient medications are prepared by the hospital pharmacy department; ward/unit-dose dispensing. Public dispensary counter hours differ from 24-hour inpatient pharmacy coverage.,https://gleneagles.hk/facilities-services/gleneagles-dispensary-hong-kong,2026-08-27
Hong Kong Sanatorium & Hospital,Yes,Hong Kong Sanatorium & Hospital,"2 Village Road, Happy Valley, Hong Kong",Wan Chai,Pharmacy Department,"G/F, Li Shu Pui Block (adjacent to 24-hour Outpatient Service reception)","G/F, Li Shu Pui Block, Hong Kong Sanatorium & Hospital, 2 Village Road, Happy Valley, Hong Kong",+852 2835 8600,+852 2892 7506,opd@hksh-hospital.com,24-hour (via G/F pharmacy linked to 24-hour Outpatient Service),Hospital pharmacy department serves inpatients and outpatients; discharge medicines collected at G/F pharmacy near main entrance.,https://www.hksh-hospital.com/en/clinical-services/24-hour-outpatient-service,2026-08-27
HKSH Eastern Medical Centre,Yes,HKSH Eastern Medical Centre (Tsao Yin Kai Block),"3 A Kung Ngam Village Road, Shau Kei Wan, Hong Kong",Eastern,Pharmacy Department (inpatient campus),Floor not published on public website,"3 A Kung Ngam Village Road, Shau Kei Wan, Hong Kong (HKSH Eastern Medical Centre, Tsao Yin Kai Block)",+852 2917 1000,+852 2558 8622,hospital@hksh-emc.com,Contact hospital for current inpatient pharmacy hours,"Licensed inpatient hospital site. No public walk-in pharmacy counter listed at Island East outpatient buildings; inpatient pharmacy services operate internally at Tsao Yin Kai Block. Admission office: 2/F, +852 2917 5030.",https://www.hksh-emc.com/en/our-services/tsao-yin-kai-block.php,2026-08-27
Union Hospital,Yes,Union Hospital (Tai Wai),"18 Fu Kin Street, Tai Wai, New Territories",Sha Tin,Pharmacy Department,"G/F, Union Hospital Medical Centre","G/F, Union Hospital Medical Centre, 18 Fu Kin Street, Tai Wai, New Territories",+852 2608 3388,,union@union.org,24 hours,Central hospital pharmacy for inpatient and outpatient dispensing at main Tai Wai campus.,https://www.union.org/en/service-overview/allied-health-services/pharmacy,2026-08-27
Hong Kong Adventist Hospital – Stubbs Road,Yes,Hong Kong Adventist Hospital – Stubbs Road,"40 Stubbs Road, Hong Kong",Central & Western,Pharmacy Services,"G/F, main hospital lobby","Ground Floor, Hong Kong Adventist Hospital, 40 Stubbs Road, Hong Kong",+852 3651 8888,,,Pharmacy supportive service 08:00-23:00; 24-hour urgent inpatient medication coverage,Inpatient unit-dose dispensing with barcode medication administration across wards; bedside discharge counselling available.,https://www.hkah.org.hk/en/ancillary-services/pharmacy-services/contact,2026-08-27
Hong Kong Adventist Hospital – Tsuen Wan,Yes,Hong Kong Adventist Hospital – Tsuen Wan,"199 Tsuen King Circuit, Tsuen Wan, N.T.",Tsuen Wan,Pharmacy Department,"2/F, Main Tower","2/F, Main Tower, Hong Kong Adventist Hospital – Tsuen Wan, 199 Tsuen King Circuit, Tsuen Wan, N.T.",+852 2275 6688,,,Contact hospital for current pharmacy counter hours,Inpatient and outpatient pharmacy with unit-dose dispensing and barcode medication administration.,https://www.twah.org.hk/en/ancillary-services/pharmacy-2,2026-08-27
CUHK Medical Centre,Yes,CUHK Medical Centre,"9 Chak Cheung Street, Sha Tin, N.T.",Sha Tin,Pharmacy Department (inpatient),1/F Pharmacy,"1/F Pharmacy, CUHK Medical Centre, 9 Chak Cheung Street, Sha Tin, N.T.",+852 3946 6888,,general@cuhkmc.hk,24-hour hospital (contact pharmacy via hospital main line),Inpatient medications use closed-loop unit-dose dispensing to wards. G/F Outpatient Pharmacy is a separate public counter for outpatient services.,https://www.cuhkmc.hk/knowing-us/background,2026-08-27
Matilda International Hospital,Yes,Matilda International Hospital,"41 Mount Kellett Road, The Peak, Hong Kong",Central & Western,Pharmacy Department,Floor not published on public website,"41 Mount Kellett Road, The Peak, Hong Kong (Matilda International Hospital)",+852 2849 1531,,phar@matilda.org,Contact pharmacy for current hours,Hospital pharmacy serves inpatients; discharge medicines arranged via ward/pharmacy. Patient Service Centre at G/F lobby handles admission.,https://www.matilda.org/en/contact,2026-08-27
Hong Kong Baptist Hospital,Yes,Hong Kong Baptist Hospital,"222 Waterloo Road, Kowloon Tong, Kowloon",Sham Shui Po,Pharmacy Department,G/F (Block B) and G/F (Block E),"G/F (Block B) and G/F (Block E), Hong Kong Baptist Hospital, 222 Waterloo Road, Kowloon Tong, Kowloon",+852 2339 8964,,info@hkbh.org.hk,"Block B Mon-Fri 09:00-18:00, Sat 09:00-16:00, Sun/PH closed; Block E 24 hours",Block E pharmacy provides 24-hour inpatient/outpatient dispensing; Block B serves outpatient daytime hours.,https://www.hkbh.org.hk/services-overview/paramedical-services/pharmacy/?lang=en,2026-08-27
St. Paul's Hospital,Yes,St. Paul's Hospital,"2 Eastern Hospital Road, Causeway Bay, Hong Kong",Wan Chai,Inpatient Pharmacy,"1/F, Main Block","1/F, Main Block, St. Paul's Hospital, 2 Eastern Hospital Road, Causeway Bay, Hong Kong",+852 2837 5232,,enquiry@stpaul.org.hk,"Inpatient pharmacy Mon-Sat 08:00-23:00, Sun 08:00-17:00; outpatient pharmacy 24/7 on same floor after hours","After inpatient pharmacy closes, services continue at outpatient pharmacy (1/F Main Block).",https://www.stpaul.org.hk/en/center-and-service/detail/pharmacy,2026-08-27
Canossa Hospital,Yes,Canossa Hospital,"1 Old Peak Road, Mid-Levels, Hong Kong",Central & Western,Pharmacy Department,Floor not published on public website,"1 Old Peak Road, Mid-Levels, Hong Kong (Canossa Hospital)",+852 2522 2181,+852 2840 1986,enquiry@canossahospital.org.hk,"24 hours, 7 days",Hospital pharmacy dispenses for inpatients and outpatients; floor location not listed on public website.,https://www.canossahospital.org.hk/en/service/diagnostic_services/pharmacy/,2026-08-27
Evangel Hospital,Yes,Evangel Hospital,"222 Argyle Street, Kowloon, Hong Kong",Kowloon City,Pharmacy Department,Floor not published on public website,"222 Argyle Street, Kowloon, Hong Kong (Evangel Hospital)",+852 2711 5222,,info@evanhosp.org.hk,Contact hospital for current pharmacy hours,"Inpatient and outpatient dispensing, cytotoxic reconstitution, and clinical pharmacy services; specific pharmacy floor not listed on public website.",https://www.evangel.org.hk/en/services/allied/pharmacy/introduction,2026-08-27
